platform,device,suite,source,document_type,language,method,backend,status,initialization_seconds,warm_median_seconds,warm_range_seconds,warm_operation_counts,peak_process_rss_mib,pytorch_allocator_peak_mib,pytorch_allocator_peak_status,cer,cer_ns,cer_bag
ubuntu-gtx1060,cpu,format,plain-cp874.txt,direct-text,,default,plain,success,,0.00013854242548476454,5.1252592296648905e-06,1780;1805;1847,2307.0,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,plain-utf8.txt,direct-text,,default,plain,success,,0.00012454552988047809,1.1990094354066998e-05,1900;2008;2090,2307.0,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,presentation.pptx,office-web,,default,markitdown,success,,0.06089416111111111,0.23112434990000003,9;7;5;10;2;8;4,2447.4375,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,spreadsheet-legacy.xls,office-web,,default,markitdown,success,,0.036942815999999996,0.35624941266666665,9;1;9;3;9;3;7,2478.71484375,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,spreadsheet.xlsx,office-web,,default,markitdown,success,,0.1205149074,0.32100272014285713,4;6;1;5;7;5;6,2507.29296875,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,table.csv,direct-text,,default,plain,success,,0.0001989123922036595,6.356771664086741e-05,995;1136;1257;1125;1286;1273;1318,2507.29296875,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,web-page-legacy.htm,office-web,,default,markitdown,success,,0.1137398272,0.10903749674999999,5;8;4;8;4;8;4,2566.32421875,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,web-page.html,office-web,,default,markitdown,success,,0.061056675166666664,0.4848309697,10;1;8;4;12;8;4,2627.75,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,word-document.docx,office-web,,default,markitdown,success,,0.3464657385,0.728173281,1;2;2;1;2;1;2,2626.23828125,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,language,pdf/ar-clean.pdf,scanned-pdf,arabic,docling+ocr,,unsupported,,,,,,,,,,
ubuntu-gtx1060,cpu,language,pdf/ar-clean.pdf,scanned-pdf,arabic,ocr,,unsupported,,,,,,,,,,
ubuntu-gtx1060,cpu,language,pdf/de-clean.pdf,scanned-pdf,latin,docling+ocr,docling+ocr,success,,1.942278771,0.4636539259999999,1;1;1;1;1;1;1,4187.2109375,,not-applicable-for-cpu,0.0,0.0,0.0
ubuntu-gtx1060,cpu,language,pdf/de-clean.pdf,scanned-pdf,latin,ocr,rapidocr,success,,3.150426106,0.20493368300000014,1;1;1,3101.87109375,,not-applicable-for-cpu,0.0,0.0,0.0
ubuntu-gtx1060,cpu,language,pdf/en-clean.pdf,scanned-pdf,latin,docling+ocr,docling+ocr,success,,1.870073126,0.07224467099999998,1;1;1,3101.87109375,,not-applicable-for-cpu,0.0,0.0,0.0
ubuntu-gtx1060,cpu,language,pdf/en-clean.pdf,scanned-pdf,latin,ocr,rapidocr,success,,2.789202156,0.19219898400000002,1;1;1,2597.89453125,,not-applicable-for-cpu,0.0,0.0,0.0
ubuntu-gtx1060,cpu,language,pdf/ja-clean.pdf,scanned-pdf,japanese,docling+ocr,docling+ocr,success,4.306737785,2.016613456,0.15548156000000013,1;1;1,5459.3359375,,not-applicable-for-cpu,0.09090909090909091,0.0,0.0
